original,degraded,score
sharp\1000_003.jpg,degraded\1000_003.jpg,0.9760678715244447
sharp\1000_004.jpg,degraded\1000_004.jpg,0.39127701421014044
sharp\1002_001.jpg,degraded\1002_001.jpg,0.9786786389513523
sharp\1006_001.jpg,degraded\1006_001.jpg,0.7194829452934576
sharp\1008_002.jpg,degraded\1008_002.jpg,0.5668845261395962
sharp\1012_002.jpg,degraded\1012_002.jpg,0.6522122351047211
sharp\1012_004.jpg,degraded\1012_004.jpg,0.6728302751430227
sharp\1027_001.jpg,degraded\1027_001.jpg,0.14104909136631505
sharp\1027_002.jpg,degraded\1027_002.jpg,0.9589285458361893
sharp\1033_001.jpg,degraded\1033_001.jpg,0.4342365181748162
sharp\1035_001.jpg,degraded\1035_001.jpg,0.611521638492524
sharp\1036_001.jpg,degraded\1036_001.jpg,0.6306096063699153
sharp\1038_001.jpg,degraded\1038_001.jpg,0.47025411229987035
sharp\1042_002.jpg,degraded\1042_002.jpg,0.1793016521098791
sharp\1042_003.jpg,degraded\1042_003.jpg,0.764221701002495
sharp\1042_004.jpg,degraded\1042_004.jpg,0.45036111721621896
sharp\1045_001.jpg,degraded\1045_001.jpg,0.7899373615282789
sharp\1054_001.jpg,degraded\1054_001.jpg,0.9183031315982791
sharp\1054_003.jpg,degraded\1054_003.jpg,0.14124799842427763
sharp\105_002.jpg,degraded\105_002.jpg,0.574263535119112
sharp\1069_004.jpg,degraded\1069_004.jpg,0.8517540657670628
sharp\1075_003.jpg,degraded\1075_003.jpg,0.7276444714203077
sharp\1078_001.jpg,degraded\1078_001.jpg,0.4851879027334408
sharp\1079_001.jpg,degraded\1079_001.jpg,0.05940432095190873
sharp\1081_001.jpg,degraded\1081_001.jpg,0.19731979782758383
sharp\1083_001.jpg,degraded\1083_001.jpg,0.6432048397806924
sharp\1084_001.jpg,degraded\1084_001.jpg,0.7846073917765017
sharp\1085_002.jpg,degraded\1085_002.jpg,0.6962244757931985
sharp\1086_003.jpg,degraded\1086_003.jpg,0.7745529431204123
sharp\1088_001.jpg,degraded\1088_001.jpg,0.3316280102557664
sharp\1089_001.jpg,degraded\1089_001.jpg,0.736541745244154
sharp\1113_001.jpg,degraded\1113_001.jpg,0.4774488363850538
sharp\1119_001.jpg,degraded\1119_001.jpg,0.6161833579054158
sharp\1120_001.jpg,degraded\1120_001.jpg,0.7788898642833672
sharp\1121_002.jpg,degraded\1121_002.jpg,0.7885595598193008
sharp\1125_001.jpg,degraded\1125_001.jpg,0.6149152835447241
sharp\1126_001.jpg,degraded\1126_001.jpg,0.7916966411363282
sharp\1127_001.jpg,degraded\1127_001.jpg,0.8530930029610567
sharp\1127_002.jpg,degraded\1127_002.jpg,0.18287829386476798
sharp\1143_002.jpg,degraded\1143_002.jpg,0.944269943716272
sharp\1145_003.jpg,degraded\1145_003.jpg,0.9661058159738274
sharp\1147_001.jpg,degraded\1147_001.jpg,0.8077342613674579
sharp\1147_002.jpg,degraded\1147_002.jpg,0.9331974828480997
sharp\1149_002.jpg,degraded\1149_002.jpg,0.8996330856237998
sharp\1149_004.jpg,degraded\1149_004.jpg,0.6112088442746912
sharp\1156_002.jpg,degraded\1156_002.jpg,0.6728473165590779
sharp\1161_001.jpg,degraded\1161_001.jpg,0.7288989850033217
sharp\1166_002.jpg,degraded\1166_002.jpg,0.2481610067910225
sharp\120_003.jpg,degraded\120_003.jpg,0.7178836419488364
sharp\125_002.jpg,degraded\125_002.jpg,0.12125309736002775
sharp\127_004.jpg,degraded\127_004.jpg,0.8019924497583143
sharp\130_004.jpg,degraded\130_004.jpg,0.7072226024433365
sharp\131_003.jpg,degraded\131_003.jpg,0.5965666377285322
sharp\132_001.jpg,degraded\132_001.jpg,0.1953509787025717
sharp\132_003.jpg,degraded\132_003.jpg,0.4866495582634715
sharp\135_001.jpg,degraded\135_001.jpg,0.1796102567526283
sharp\137_002.jpg,degraded\137_002.jpg,0.6499243634435811
